id,name,address,x_pos,y_pos
용담해안도로점,용담해안도로점,제주시 어영길 60,33.51752695,126.4990672
애월점,애월점,제주특별자치도 제주시 애월읍,33.48467084,126.3936406
월정점,월정점,제주특별자치도 제주시 구좌읍,33.54518344,126.8279955
세화점,세화점,제주특별자치도 제주시 구좌읍,33.52412651,126.8601286
곽지점,곽지점,제주특별자치도 제주시 애월읍,33.45090972,126.3078547
성산점_,성산점_,제주특별자치도 서귀포시 성산읍,33.46973502,126.9222935
서귀포점,서귀포점,제주특별자치도 서귀포시,33.24424334,126.5355688
월령점,월령점,제주 제주시 한림읍,33.37942522,126.2163892
이호해변점,이호해변점,제주특별자치도 제주시 일주서로,33.49574669,126.4576038
이호현사점,이호현사점,제주특별자치도 제주시 이호동,33.49741487,126.4490748
북촌점,북촌점,제주특별자치도 제주시 조천읍,33.55110384,126.6959989
서귀포올레점,서귀포올레점,제주특별자치도 서귀포시 태평로,33.24620428,126.5600922
토산점,토산점, 서귀포시 표선면,33.30601115,126.7928945
제주본점,제주본점,제주특별자치도 애조로,33.46087191,126.5119829
조천점,조천점,제주 제주시 조천읍,33.53714229,126.6385115
함덕점,함덕점,제주시 조천읍 (제주시 조천읍 함덕리 산14-6(스타벅스맞은편)),33.54286903,126.6681755
성산점,성산점,제주특별자치도 서귀포시 성산읍,33.46078499,126.9314315
월정해변점,월정해변점,제주시 구좌읍 월정리 554-7 공영주차장,33.55619522,126.7951489
순천점,순천점,전라남도 순천시 매곡동,34.96468657,127.4850953
제주공항 스마트모빌리티존,제주공항 스마트모빌리티존,제주공항 도착 1번출구 좌측,33.506939,126.49452
플레이스캠프점,플레이스캠프점,서귀포시 성산읍,33.44986322,126.9181684
